family,variant,total_tasks,pass_count,fail_count,no_witness,false_accept_count
capability_sensitive,Full,5,5,0,0,0
capability_sensitive,NoCapability,5,5,0,0,0
capability_sensitive,NoObligation,5,5,0,0,0
capability_sensitive,NoStack,5,5,0,0,0
capability_sensitive,TypeOnly,5,5,0,0,0
mixed_hard,Full,3,3,0,0,0
mixed_hard,NoCapability,3,3,0,0,0
mixed_hard,NoObligation,3,3,0,0,0
mixed_hard,NoStack,3,3,0,0,0
mixed_hard,TypeOnly,3,3,0,0,0
obligation_sensitive,Full,4,4,0,0,0
obligation_sensitive,NoCapability,4,4,0,0,0
obligation_sensitive,NoObligation,4,0,4,0,4
obligation_sensitive,NoStack,4,4,0,0,0
obligation_sensitive,TypeOnly,4,0,4,0,4
stack_sensitive,Full,5,5,0,0,0
stack_sensitive,NoCapability,5,5,0,0,0
stack_sensitive,NoObligation,5,5,0,0,0
stack_sensitive,NoStack,5,5,0,0,0
stack_sensitive,TypeOnly,5,5,0,0,0
typeonly_trap,Full,3,3,0,0,0
typeonly_trap,NoCapability,3,3,0,0,0
typeonly_trap,NoObligation,3,3,0,0,0
typeonly_trap,NoStack,3,3,0,0,0
typeonly_trap,TypeOnly,3,3,0,0,0
