task_id,witness_found,emit_success,compiler_pass,scaffold_generated,hole_count,error_info
bench_assoc_type_01,True,True,True,True,0,
bench_cap_alias_diff_cap_01,True,True,True,True,0,
bench_cap_copy_reuse_01,True,True,True,True,0,
bench_cap_freeze_unfreeze_01,True,True,True,True,0,
bench_cap_move_vs_copy_01,True,True,True,True,0,
bench_cap_own_frz_blk_01,True,True,True,True,0,
bench_copy_clone_01,True,True,True,True,0,
bench_ctor_chain_01,True,True,True,True,0,
bench_drop_unfreeze_01,True,True,True,True,0,
bench_generic_container_01,True,True,True,True,0,
bench_lifetime_nest_01,True,True,True,True,0,
bench_mixed_ambig_provider_01,True,True,True,True,0,
bench_mixed_ctor_borrow_proj_01,True,True,True,True,0,
bench_mixed_long_chain_01,True,True,True,True,0,
bench_move_copy_01,True,True,True,True,0,
bench_multi_borrow_01,True,True,True,True,0,
bench_mut_borrow_01,True,True,True,True,0,
bench_mut_reborrow_01,True,True,True,True,0,
bench_obl_assoc_decides_01,True,True,True,True,0,
bench_obl_distractor_shape_01,True,True,True,True,0,
bench_obl_generic_method_01,True,True,True,True,0,
bench_obl_trait_gate_01,True,True,True,True,0,
bench_proj_move_01,True,True,True,True,0,
bench_proj_ref_01,False,False,False,False,0,
bench_shared_borrow_01,True,True,True,True,0,
bench_shr_from_mut_01,True,True,True,True,0,
bench_stack_discharge_order_01,True,True,True,True,0,
bench_stack_last_reader_01,True,True,True,True,0,
bench_stack_nested_scope_01,True,True,True,True,0,
bench_stack_reborrow_depth_01,True,True,True,True,0,
bench_stack_shr_then_mut_01,True,True,True,True,0,
bench_trait_bound_01,True,True,True,True,0,
bench_tuple_flow_01,True,True,True,True,0,
bench_typeonly_borrow_kind_01,True,True,True,True,0,
bench_typeonly_cap_trap_01,True,True,True,True,0,
bench_typeonly_dead_provider_01,True,True,True,True,0,
